AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
409,4,BEECH B-100,BEECHCRAFT,BEECHCRAFT KING AIR B100 ,BE-B100,10/1/2002 12:00:00 AM,
410,4,ROCKWELL 680-W/690,ROCKWELL,ROCKWELL TURBO-COMMANDER 680-W/690,TCOMMNDR,1/1/1990 12:00:00 AM,
411,4,BEECHCRAFT 65-A90,BEECHCRAFT,BEECH KING AIR 65-A90 QUEEN AIR,BE-65,10/1/2002 12:00:00 AM,
412,4,CASA 212,"CONSTRUCCIONES AERONAUTICAS,SA",CASA/NURTANIO C212 AVIOCAR,C212,1/1/1990 12:00:00 AM,
413,4,CASA 235,"CONSTRUCCIONES AERONAUTICAS,SA",CASA 235,C 235,1/1/1990 12:00:00 AM,
415,4,CESSNA C208B,CESSNA,CESSNA C208B/GRAND CARAVAN,CE-208B,10/1/2006 12:00:00 AM,
416,4,CESSNA 208,CESSNA,CESSNA 208 CARAVAN,CARAVAN,1/1/1990 12:00:00 AM,
417,4,CESSNA 406,CESSNA,CESSNA 406 CARAVAN II,CARAVNII,1/1/2002 12:00:00 AM,
418,4,CESSNA C-441,CESSNA,CESSNA C-441,CE-C441,1/1/1990 12:00:00 AM,
420,4,CONVAIR CV-540,CONVAIR,CONVAIR CV-540,CV-540,1/1/1990 12:00:00 AM,
421,4,CESSNA SKYCOURIER ,CESSNA,CESSNA SKYCOURIER 408,CE-408,1/1/2020 12:00:00 AM,
422,4,QUEST KODIAK 100,KODIAK,QUEST KODIAK 100,KODIAK ,7/1/2011 12:00:00 AM,
425,4,PIAGGIO P180 AVANT,PIAGGIO AVANTI,PIAGGIO P180 AVANTI,AVANTI,1/1/2016 12:00:00 AM,
430,4,CONVAIR CV-580,CONVAIR,CONVAIR CV-580,CV-580,1/1/1990 12:00:00 AM,
431,4,SOCATA TBM850,SOCATA,SOCATA TBM850,TBM850,9/1/2010 12:00:00 AM,
432,4,SAAB 2000,SAAB,SAAB 2000,SA2000,1/1/2016 12:00:00 AM,
433,4,SOCATA TBM-700,SOCATA,SOCATA TBM-700,TBM-700,9/1/2006 12:00:00 AM,
434,4,KING AIR A100,RAYTHEON,RAYTHEON KING AIR A100,A100,1/1/2014 12:00:00 AM,
435,4,CONVAIR CV-600,CONVAIR,CONVAIR CV-600,CV-600,1/1/1990 12:00:00 AM,
437,4,BEECH BARON B-58,RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT BARON B-58,BARON,6/1/2008 12:00:00 AM,
440,4,CONVAIR CV-640,CONVAIR,CONVAIR CV-640,CV-640,1/1/1990 12:00:00 AM,
