AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
660,6,LEAR-23,GATES LEARJET,GATES LEARJET LEAR-23,LEAR-23,1/1/1990 12:00:00 AM,
661,6,LEAR-24,GATES LEARJET,GATES LEARJET LEAR-24,LEAR-24,1/1/1990 12:00:00 AM,
662,6,LEAR-25,GATES LEARJET,GATES LEARJET LEAR-25,LEAR-25,1/1/1990 12:00:00 AM,
663,6,LEAR-35,GATES LEARJET,GATES LEARJET LEAR-31/35/36,LEAR-35,1/1/1990 12:00:00 AM,
664,6,HFB-320 HANSA,HANSA,HFB-320 HANSA,HFB-320,1/1/1990 12:00:00 AM,
665,6,BAE HS-125,BRITISH AEROSP/HAWKER SIDDELEY,HAWKER SIDDELEY 125,HS-125,1/1/1995 12:00:00 AM,
666,6,LEAR 55,GATES LEARJET,LEAR 55,LEAR-55,10/1/2002 12:00:00 AM,
667,6,GULFSTREAM V/ G-V ,GULFSTREAM AEROSPACE,GULFSTREAM III/V/ G-V EXEC/ G-5/550,G-V,10/1/2002 12:00:00 AM,
668,6,CHALLENGER 601,BOMBARDIER,CANADAIR (BOMBARDIER) CHALLLENGER 601,CL-601,6/1/2005 12:00:00 AM,
669,6,CHALLENGER 604/605,BOMBARDIER,BOMBARDIER CHALLENGER 604/605,CL-604/5,6/1/2005 12:00:00 AM,
670,6,ROCKWELL SABRELINR,ROCKWELL,ROCKWELL SABRELINER,SABRELNR,1/1/1990 12:00:00 AM,
671,6,GULFSTREAM G450,GULFSTREAM,GULFSTREAM G450,G450,4/1/2006 12:00:00 AM,
672,6,HAWKER 900XP,RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT HAWKER 900XP,900XP,1/1/2023 12:00:00 AM,
673,6,EMBRAER-175,EMBRAER,EMBRAER ERJ-175,ERJ-175,3/1/2004 12:00:00 AM,
674,6,EMBRAER-135,EMBRAER,EMBRAER-135,EMB-135,1/1/1998 12:00:00 AM,
675,6,EMBRAER-145,EMBRAER,EMBRAER-145,EMB-145,1/1/1996 12:00:00 AM,
676,6,EMBRAER-140,EMBRAER,EMBRAER-140,EMB-140,1/1/2001 12:00:00 AM,
677,6,EMBRAER-EMB-170,EMBRAER,EMBRAER-EMB-170,EMB-170,3/1/2004 12:00:00 AM,
678,6,EMBRAER 190,EMBRAER,EMBRAER 190,EMB-190,12/1/2005 12:00:00 AM,
679,6,GRUMMAN G-1159,GULFSTREAM,GRUMMAN G-1159 GULFSTREAM II/III,G-III,1/1/2009 12:00:00 AM,
680,6,CARAVELLE SE-210,AEROSPATIALE,AEROSPATIALE CARAVELLE SE-210,CARAVLLE,1/1/1990 12:00:00 AM,
681,6,DASSAULT FALCON,DASSAULT-BREGUET,DASSAULT-BREGUET MYSTERE-FALCON,FALCON,1/1/1990 12:00:00 AM,
682,6,DASSAULT 2000,DASSAULT ,DASSAULT FALCON 2000EX/2000LXS,DA-2000,9/1/2006 12:00:00 AM,
683,6,BOEING B777-F,BOEING,BOEING B777-F,B777-F,1/1/2004 12:00:00 AM,
684,6,BEECH HAWKER 800XP,RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT HAWKER 800XP,800XP,7/1/2009 12:00:00 AM,
685,6,CESSNA 510/560XL ,CESSNA,CESSNA 510 MUSTANG/560XL CITATION EXCEL,CE-560XL,1/1/2010 12:00:00 AM,
686,6,BOMBARDIER LJET45,BOMBARDIER,LEARJET45,LEAR-45,1/1/2010 12:00:00 AM,
687,6,AIRBUS A330-300/33,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A330-300/333,A330-3,1/1/2004 12:00:00 AM,
688,6,GLOBAL 5000,BOMBARDIER,BOMBARDIER GLOBAL 5000,GL5000,1/1/2014 12:00:00 AM,
689,6,A300-600ST(BELUGA),AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A330-600ST (BELUGA),BELUGA,7/1/1998 12:00:00 AM,
690,6,A300B/C/F-100/200,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A300B/C/F-100/200,A300-1/2,1/1/1990 12:00:00 AM,
691,6,A300-600/R/CF/RCF,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A300-600/R/CF/RCF,A300-6,1/1/1990 12:00:00 AM,
692,6,A310-200C/F,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A310-200C/F,A310-2CF,1/1/1990 12:00:00 AM,
693,6,A310-300,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A310-300,A310-3,1/1/1990 12:00:00 AM,
694,6,A320-100/200,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A320-100/200,A320-1/2,1/1/1990 12:00:00 AM,
695,6,A300-B2,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A300-B2,A300-B2,1/1/1990 12:00:00 AM,
696,6,A330-200/220F,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A330-200,A330-2,1/1/1992 12:00:00 AM,
697,8,A340,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340,A340,1/1/1992 12:00:00 AM,
698,6,A319,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A319,A319,1/1/1997 12:00:00 AM,
699,6,A321/LR,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A321/LR,A321/LR,1/1/2019 12:00:00 AM,
710,7,BOEING 727-100,BOEING,BOEING 727-100,B727-100,1/1/1990 12:00:00 AM,
711,7,BOEING 727-100C/QC,BOEING,BOEING 727-100C/QC,B727-1C,1/1/1990 12:00:00 AM,
714,6,SUKHOI SUPERJ 100,SUKHOI,SUKHOI SUPERJET 100,SSJ-100,7/1/2014 12:00:00 AM,
715,7,BOEING 727-200,BOEING,BOEING 727-200/231A,B727-2,1/1/1990 12:00:00 AM,
716,6,BOMBARDIER GLOBAL ,BOMBARDIER,BOMBARDIER GLOBAL 6500,GL6500,1/1/2024 12:00:00 AM,
717,6,MRJ-70/STD/ER/LR,MITSUBISHI,MRJ-70/STD/ER/LR,MRJ-70,7/1/2015 12:00:00 AM,
718,6,MRJ-90/STD/SR/LR,MITSUBISHI,MRJ-90/STD/SR/LR,MRJ-90,7/1/2015 12:00:00 AM,
719,6,A319-200N,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A319-200N,A319NEO,1/1/2017 12:00:00 AM,
720,6,BOMBARDIER CS100,BOMBARDIER CS100,BOMBARDIER C SERIES CS100,CS100,1/1/2017 12:00:00 AM,12/31/2017 12:00:00 AM
721,6,A321-200N,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A321-200N,A321NEO,1/1/2017 12:00:00 AM,
722,6,A320-200N,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A320-200N,A320NEO,1/1/2017 12:00:00 AM,
723,6,A220-100 BD-500-1A,AIRBUS,A200-100 BD-500-1A10,A220-1,1/1/2018 12:00:00 AM,
724,6,A220-300 BD-500-1A,AIRBUS,A220-300 BD-500-1A11,A220-3,1/1/2018 12:00:00 AM,
725,7,DASSAULT FALCON 8X,DASSAULT,DASSAULT FALCON 8X,FALCON8X,10/1/2017 12:00:00 AM,
730,7,DOUGLAS DC-10-10,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-10,DC-10-10,1/1/1990 12:00:00 AM,
731,7,DOUGLAS DC-10-20,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-20,DC-10-20,1/1/1990 12:00:00 AM,
732,7,DOUGLAS DC-10-30,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-30,DC-10-30,1/1/1990 12:00:00 AM,
733,7,DOUGLAS DC-10-40,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-40,DC-10-40,1/1/1990 12:00:00 AM,
735,7,DOUGLAS DC-10-30CF,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-30CF,DC10-30F,1/1/1990 12:00:00 AM,
737,6,BOEING 737 MAX 7,BOEING,BOEING 737 MAX 7,MAX 7,10/1/2017 12:00:00 AM,
740,7,MD-11,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-11,MD-11,1/1/1990 12:00:00 AM,
745,6,EMBRAER-550,EMBRAER,EMBRAER LEGACY 500,EMB-550,1/1/2018 12:00:00 AM,
746,6,EMBRAER EMB500 PHE,EMBRAER,EMB500 PHENOM 100/300,EMB500,1/1/2020 12:00:00 AM,
748,6,EMBRAER EMB195,EMBRAER,EMBRAER EMB195,EMB-195,1/1/2021 12:00:00 AM,
749,6,GULFSTREAM AEROSPA,GULFSTREAM,GULFSTREAM AEROSPACE G500,G500,1/1/2022 12:00:00 AM,
750,6,GULFSTREAM G650,GULFSTREAM,GULFSTREAM G650,G650,1/1/2014 12:00:00 AM,
751,6,BOMBARDIER GLOBAL ,BOMBARDIER,BOMBARDIER GLOBAL 7500 BD-7500,BD-7500,1/1/2020 12:00:00 AM,
752,6,GULFSTREAM AEROSPA,GULFSTREAM AEROSPACE,GULFSTREAM AEROSPACE GULFSTREAM G280,G280,1/1/2023 12:00:00 AM,
753,6,GULFSTREAM AEROSPA,GULFSTREAM AEROSPACE,GULFSTREAM AEROSPACE GULFSTREAM G600,G600,1/1/2023 12:00:00 AM,
754,6,EMBRAER PRAETOR 60,EMBRAER,EMBRAER PRAETOR 600,E600,12/1/2022 12:00:00 AM,
755,6,EMBRAER LEGACY 600,EMBRAER,EMBRAER LEGACY 600,LEG-600,6/1/2015 12:00:00 AM,
760,7,L-1011-1/100/200,LOCKHEED,LOCKHEED L-1011-1/100/200,L-1011,1/1/1990 12:00:00 AM,
765,7,L-1011-500 TRISTAR,LOCKHEED,LOCKHEED L-1011-500 TRISTAR,L-1011,1/1/1990 12:00:00 AM,
767,6,BOMBARDIER CRJ-100,BOMBARDIER,BOMBARDIER CRJ 1000 X,CRJX,1/1/2025 12:00:00 AM,1/1/9999 12:00:00 AM
770,7,FALCON 900,DASSAULT FALCON,DASSAULT FALCON 900/900EX,FA-900,10/1/2002 12:00:00 AM,
771,7,FALCON 50,DASSAULT FALCON,DASSAULT FALCON 50,FA-50,10/1/2002 12:00:00 AM,
774,6,DASSAULT FALCON ,DASSAULT FALCON,DASSAULT FALCON 2000,DA 2000,1/1/2012 12:00:00 AM,
775,7,DASSAULT FALCON 7X,DASSAULT FALCON,DASSAULT FALCON 7X,FALCON7X,10/1/2008 12:00:00 AM,
776,6,DASSAULT FALCON 6X,DASSAULT,DASSAULT FALCON AVIATION 6X,FALCON6X,10/1/2023 12:00:00 AM,
777,6,BOMBARDIER CHALLEN,BOMBARDIER,BOMBARDIER CHALLENGER 850,BC850,12/31/2023 12:00:00 AM,
780,7,TUPOLEV 154,TUPOLEV,TUPOLEV TU-154,TU-154,1/1/1990 12:00:00 AM,
788,6,GLOBAL 6000,BOMBARDIER ,BOMBARDIER GLOBAL 6000/GLOBAL XRS,GL6000,1/1/2014 12:00:00 AM,
792,7,YAKOLEV 42,YAKOLEV,YAKOLEV YAK-42,YAK-42,1/1/1990 12:00:00 AM,
800,8,BOEING 707-100,BOEING,BOEING 707-100,B707-100,1/1/1990 12:00:00 AM,
802,8,BOEING 707-100B,BOEING,BOEING 707-100B,B707-1B,1/1/1990 12:00:00 AM,
804,8,BOEING 707-200,BOEING,BOEING 707-200,B707-2,1/1/1990 12:00:00 AM,
806,8,BOEING 707-300,BOEING,BOEING 707-300,B707-3,1/1/1990 12:00:00 AM,
808,8,BOEING 707-300B,BOEING,BOEING 707-300B,B707-3B,1/1/1990 12:00:00 AM,
809,8,BOEING 707-300C,BOEING,BOEING 707-300C,B707-3C,1/1/1990 12:00:00 AM,
810,8,BOEING 707-400,BOEING,BOEING 707-400,B707-4,1/1/1990 12:00:00 AM,
812,8,BOEING 720,BOEING,BOEING 720-000,B720-0,1/1/1990 12:00:00 AM,
814,8,BOEING 720-B,BOEING,BOEING 720-000B,B720-B,1/1/1990 12:00:00 AM,
816,8,BOEING 747-100,BOEING,BOEING 747-100,B747-100,1/1/1990 12:00:00 AM,
817,8,BOEING 747-200/300,BOEING,BOEING 747-200/300,B747-2/3,1/1/1990 12:00:00 AM,
818,8,BOEING 747C,BOEING,BOEING 747C,B747C,1/1/1990 12:00:00 AM,
819,8,BOEING 747-400,BOEING,BOEING 747-400,B747-4,1/1/1990 12:00:00 AM,
820,8,BOEING 747-4F,BOEING,BOEING 747-400F,B747-4F,1/1/1990 12:00:00 AM,
821,8,BOEING B747-8,BOEING,BOEING B747-8,B747-8,1/1/2010 12:00:00 AM,
822,8,BOEING 747SP,BOEING,BOEING 747SP,B747SP,1/1/1990 12:00:00 AM,
823,8,BOEING 747-200F,BOEING,BOEING 747-200F,B747-2F,1/1/1990 12:00:00 AM,
824,6,AIRBUS A330-900neo,AIRBUS INDUSTRIE,AIRBUS A330-900neo,330-9neo,1/1/2018 12:00:00 AM,
825,8,CONVAIR 880,CONVAIR,CONVAIR 880 (CV-22/22M),CV-880,1/1/1990 12:00:00 AM,
830,8,CONVAIR 990,CONVAIR,CONVAIR 990 CORONADO (CV-30),CORONADO,1/1/1990 12:00:00 AM,
833,6,EMB LEGACY 650,EMBRAER ,EMBRAER LEGACY 650,LEG-650,10/1/2016 12:00:00 AM,
835,8,AVROLINER RJ85,AVRO INTERNATIONAL AEROSPACE,AVROLINER RJ85,AV RJ85,1/1/1997 12:00:00 AM,
836,6,A350-1000,AIRBUS,AIRBUS 350-1000,A35K,1/1/2017 12:00:00 AM,
837,6,B787-10 DREAMLINER,BOEING,BOEING 787-10 DREAMLINER,B787-10,1/1/2022 12:00:00 AM,
838,6,B737 MAX 800,BOEING,BOEING B737 MAX 800,MAX 8,7/1/2016 12:00:00 AM,
839,6,B737 MAX 900,BOEING,BOEING B737 MAX 900,MAX 9,7/1/2016 12:00:00 AM,
840,8,DOUGLAS DC-8-10,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-10,DC-8-10,1/1/1990 12:00:00 AM,
842,8,DOUGLAS DC-8-20,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-20,DC-8-20,1/1/1990 12:00:00 AM,
844,8,DOUGLAS DC-8-30,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-30,DC-8-30,1/1/1990 12:00:00 AM,
846,8,DOUGLAS DC-8-40,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-40,DC-8-40,1/1/1990 12:00:00 AM,
848,8,DOUGLAS DC-8-50,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-50,DC-8-50,1/1/1990 12:00:00 AM,
850,8,DOUGLAS DC-8-50F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-50F,DC-8-50F,1/1/1990 12:00:00 AM,
851,8,DOUGLAS DC-8-61,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-61,DC-8-61,1/1/1990 12:00:00 AM,
852,8,DOUGLAS DC-8-63F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-63F,DC-8-63F,1/1/1990 12:00:00 AM,
854,8,DOUGLAS DC-8-62,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-62,DC-8-62,1/1/1990 12:00:00 AM,
856,8,DOUGLAS DC-8-63,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-63,DC-8-63,1/1/1990 12:00:00 AM,
860,8,DOUGLAS DC-8-71,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-71,DC-8-71,1/1/1990 12:00:00 AM,
862,8,DOUGLAS DC-8-72,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-72,DC-8-72,1/1/1990 12:00:00 AM,
864,8,DOUGLAS DC-8-73,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-73,DC-8-73,1/1/1990 12:00:00 AM,
865,8,DOUGLAS DC-8-73F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-73F,DC-8-73F,1/1/1990 12:00:00 AM,
866,8,BAE-146-100/RJ70,BRITISH AEROSPACE,BRITISH AEROSPACE BAE-146-100/RJ70,BAE146-1,1/1/1990 12:00:00 AM,
867,8,BAE-146-200,BRITISH AEROSPACE,BRITISH AEROSPACE BAE-146-200,BAE146-2,1/1/1990 12:00:00 AM,
868,8,BAE-146-300,BRITISH AEROSPACE,BRITISH AEROSPACE BAE-146-300,BAE146-3,1/1/1990 12:00:00 AM,
870,8,LOCKHEED JETSTAR,LOCKHEED,LOCKHEED JETSTAR,JETSTAR,1/1/1990 12:00:00 AM,
871,8,A340-300,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-300,A340-3,9/1/1996 12:00:00 AM,
872,8,A340-500,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-500,A340-5,9/1/1996 12:00:00 AM,
873,8,A340-200,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-200,A340-2,9/1/1996 12:00:00 AM,
874,8,A340-600,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-600,A340-6,9/1/1996 12:00:00 AM,
875,8,CONCORDE,AEROSPATIALE/BRITISH AEROSPACE,AEROSPATIALE/BRITISH AEROSPACE CONCORDE,CONCORDE,1/1/1990 12:00:00 AM,
876,8,ILYUSHIN 62,ILYUSHIN,ILYUSHIN 62,IL-62,1/1/1990 12:00:00 AM,
877,8,ILYUSHIN 76/TD,ILYUSHIN,ILYUSHIN 76/TD,IL-76/TD,1/1/1990 12:00:00 AM,
878,8,ILYUSHIN 86,ILYUSHIN,ILYUSHIN 86,IL-86,1/1/1990 12:00:00 AM,
879,8,ILYUSHIN 96,ILYUSHIN,ILYUSHIN 96,IL-96,3/1/1993 12:00:00 AM,
880,8,ANTONOV 124,ANTONOV,ANTONOV 124,AN-124,1/1/1990 12:00:00 AM,
881,8,IL-96-40T,ILYUSHIN,ILYUSHIIN IL-96-400T,IL-96-4T,1/1/2013 12:00:00 AM,
882,8,A380-800,AIRBUS INDUSTRIE,AIRBUS INDUSTRAI A380-800,A380-8,7/1/2008 12:00:00 AM,
885,6,BOEING B737-MAX10,BOEING,BOEING B737-MAX10,MAX10,12/1/2021 12:00:00 AM,
887,6,B787-8 DREAMLINER,BOEING,B787-800 DREAMLINER,B787-8,1/1/2012 12:00:00 AM,
888,6,B737-900ER,BOEING,BOEING 737-900ER,B737-9ER,1/1/2012 12:00:00 AM,
889,6,B787-9 DREAMLINER,BOEING,B787-900 DREAMLINER,B787-9,1/1/2012 12:00:00 AM,
890,8,ANTONOV 225,ANTONOV,ANTONOV 225 (6 ENGINE),AN-225,1/1/1990 12:00:00 AM,
